Date,User,Tweet
2022-10-26 23:01:52+00:00,Edu2quest,"@OvieNews somes fools think Wike will be so stupid to support Tinubu when he knows that his state is very much Obidient. Make he try am come and say one thing about Tinubu, his party will lose all elective seat in Rivers"
2022-10-26 22:59:49+00:00,Cikings,"@ruffydfire Exactly!
At this point, we have to involve diplomatic reciprocity 
Stop issuing visas to them too
Stop any bilateral trade agreements that's not to our favor with them
Finally blacklist them
They can eat their country for all we care
Na our politicians dey make their heads swell"
2022-10-26 22:59:18+00:00,jonas33221100,@sugakhay @jonas33221100
2022-10-26 22:59:06+00:00,MazaMbaise,@ayisat_opeyemi @Montero1016 @OfficialAE10 @mindset_tweet Madam I am one Nigeria. I was born in zaria Kaduna. I school in sw . I am proud OBIDIENT
2022-10-26 22:58:47+00:00,osc4christ,I do not support this. Let the Obidient movement not try to hijack Labour Party. My commitment to this movement is not in search of any rewards. Let's focus on more important things please. We haven't won the election! https://t.co/uLIrNNVfAP
2022-10-26 22:58:43+00:00,LadyXan_,"@Triciaduchess She is controlling but I pity her on Phyna matter cos she gon crrryyyy the longest. Another one is @Tachaadvocate . Both are evil and desperately demons.

FOCUSED PHYNA
PHYNA DAUGHTER OF GRACE
#Phyna𓃰"
2022-10-26 22:58:31+00:00,obikelechiobie1,"@onyeka_nwelue It's so bad nnam. Just that we can't do anything about it other than what we're doing now, being OBIdient and giving our best in preparation for election and hopefully winning. We'll get it right again. Daalu"
2022-10-26 22:52:19+00:00,LadyXan_,"@Triciaduchess They all gon crrryyyy 🤣

FOCUSED PHYNA
PHYNA DAUGHTER OF GRACE
#Phyna𓃰"
2022-10-26 22:51:48+00:00,JesseTerlumun,@firstladyship The love is unquantifiable ! May Obi/Datti succeed
2022-10-26 22:51:28+00:00,odsamson1,His advice then is still Alive...Obidient do your thing https://t.co/cvGQiMbqZg
2022-10-26 22:51:18+00:00,LadyXan_,"@msbee0511 Those that have refused to mind their business will cry, even some Phynations aren't left out 🤣🤣."
2022-10-26 22:51:07+00:00,Misterfoxxie,@TimiBlaze Nah still una principal mouth we hear am say all this people wey break down naija be hin senior brothers and leaders. That one nor be video evidence say dem be the same ?? Dis obidient people sabi shift goal posts
2022-10-26 22:49:55+00:00,FaithLandas,"@Naija_PR This is evil, abeg where is the address of the church I want personally go tell her say wetin she Dey do no good"
2022-10-26 22:49:30+00:00,MichealJudee,"@jesseekadi Uncle, plz be obidient. 😥"
2022-10-26 22:48:18+00:00,LadyXan_,@bella_okagbue @royalhairs_ng Congratulations Bella ❤️
2022-10-26 22:47:03+00:00,majestainless,"@ruffydfire @Spotlight_Abby Rufai,harmless interview ooo"
2022-10-26 22:47:01+00:00,tony_nwezza,"I sorry for @atiku oo people wey won job am no be small..Who know how much this one just collect?
#Obidient make we face front https://t.co/3XGPmuacQJ"
2022-10-26 22:46:43+00:00,jonas33221100,@Banky__moon @jonas33221100
2022-10-26 22:45:54+00:00,princeronk,@obidient_child @teeana_world She is just doing her job and earning her money
2022-10-26 22:45:46+00:00,chinedu_egede,@realFFK This man has no iota of sh@me  at all. https://t.co/ia2tu9m6U7
2022-10-26 22:43:05+00:00,FegorEmpire,"@opebanwo @NgLabour @Morris_Monye @Jack_ng01 @Doc_steena @akintollgate @BishopPOEvang You should be first certain that they are labour party card carrying members.

I am just an OBIdient, not a labour party member. Millions are in the same shoe. I'm sure that these guys you've mentioned just want PO as president, they aren't doing this to get political titles."
